Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Lindell Wigginton,PG,24,MIL,2.6,5.3,0.486,0.9,2.6,0.333,1.7,2.7,0.632,1.1,1.3,0.889,0.0,2.0,0.0,1.7,7.1,5.244999999999999
Alondes Williams,SG,23,BRK,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,-2.3
Donovan Williams,SG,21,ATL,1.0,2.5,0.4,0.0,1.0,0.0,1.0,1.5,0.667,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0
Grant Williams,PF,24,BOS,2.7,6.0,0.454,1.5,3.7,0.395,1.3,2.3,0.546,1.2,1.5,0.77,1.1,1.7,0.5,1.0,8.1,9.022999999999998
Jalen Williams,SG,21,OKC,5.5,10.6,0.521,1.0,2.7,0.356,4.5,7.9,0.579,2.1,2.5,0.812,1.1,3.3,1.4,1.6,14.1,15.168
Jaylin Williams,C,20,OKC,2.1,4.8,0.436,0.9,2.3,0.407,1.1,2.5,0.463,0.8,1.1,0.704,0.9,1.6,0.6,0.8,5.9,6.532
Jeenathan Williams,SG,23,POR,4.8,7.8,0.615,0.6,1.6,0.375,4.2,6.2,0.677,0.4,0.6,0.667,2.0,2.0,0.6,0.8,10.6,12.729999999999999
Kenrich Williams,PF,28,OKC,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4.0,0.608,0.3,0.7,0.436,1.8,2.0,0.8,0.6,8.0,10.154
Mark Williams,C,21,CHO,3.7,5.8,0.637,0.0,0.0,,3.7,5.8,0.637,1.6,2.3,0.691,2.2,0.4,0.7,0.9,9.0,11.366
Patrick Williams,PF,21,CHI,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,1.1,1.3,0.857,1.0,1.2,0.9,1.2,10.2,10.934999999999999
Robert Williams,C,25,BOS,3.6,4.9,0.747,0.0,0.0,0.0,3.6,4.8,0.751,0.7,1.2,0.61,3.0,1.4,0.6,1.0,8.0,10.98
Vince Williams Jr.,SG,22,MEM,0.8,2.7,0.3,0.3,1.9,0.143,0.5,0.8,0.667,0.1,0.1,1.0,0.3,0.3,0.4,0.3,2.0,2.4690000000000003
Ziaire Williams,SF,21,MEM,2.3,5.3,0.429,0.7,2.6,0.258,1.6,2.7,0.596,0.5,0.6,0.773,0.4,0.9,0.4,1.0,5.7,5.582000000000001
Zion Williamson,PF,22,NOP,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,6.1,8.6,0.714,2.0,4.6,1.1,3.4,26.0,25.615
Dylan Windler,SF,26,CLE,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.0,0.0,,0.0,0.3,0.3,0.3,1.7,1.5
Justise Winslow,PF,26,POR,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.7,1.0,0.714,1.7,3.4,1.0,1.5,6.8,8.231
James Wiseman,C,21,TOT,4.2,7.5,0.558,0.1,0.4,0.2,4.1,7.1,0.58,1.5,2.2,0.701,1.6,0.7,0.2,1.1,10.0,10.853
Christian Wood,C,27,DAL,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,3.2,4.2,0.772,1.3,1.8,0.4,1.8,16.6,16.524
Delon Wright,PG,30,WAS,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,1.0,1.2,0.867,1.2,3.9,1.8,0.9,7.4,9.651
McKinley Wright IV,PG,24,DAL,1.7,3.6,0.469,0.3,1.0,0.321,1.4,2.6,0.529,0.5,0.7,0.684,0.3,2.1,0.3,0.7,4.2,4.093999999999999
Gabe York,SG,29,IND,2.7,7.0,0.381,2.0,6.0,0.333,0.7,1.0,0.667,0.7,0.7,1.0,0.0,1.7,0.7,0.0,8.0,8.905
Thaddeus Young,PF,34,TOR,2.0,3.7,0.545,0.1,0.6,0.176,1.9,3.0,0.622,0.3,0.5,0.692,1.3,1.4,1.0,0.8,4.4,6.164
Trae Young,PG,24,ATL,8.2,19.0,0.429,2.1,6.3,0.335,6.1,12.7,0.476,7.8,8.8,0.886,0.8,10.2,1.1,4.1,26.2,23.794
Omer Yurtseven,C,24,MIA,1.8,3.0,0.593,0.3,0.8,0.429,1.4,2.2,0.65,0.6,0.7,0.833,0.9,0.2,0.2,0.4,4.4,5.132000000000001
Cody Zeller,C,30,MIA,2.5,3.9,0.627,0.0,0.1,0.0,2.5,3.8,0.649,1.6,2.3,0.686,1.7,0.7,0.2,0.9,6.5,7.801
Ivica Zubac,C,25,LAC,4.3,6.8,0.634,0.0,0.0,0.0,4.3,6.7,0.637,2.2,3.1,0.697,3.1,1.0,0.4,1.5,10.8,13.193
