Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,AST,STL,TOV,PTS,Total Points
Immanuel Quickley,SG,23,NYK,5.2,11.6,0.448,2.1,5.6,0.37,3.1,6.0,0.521,2.5,3.1,0.819,0.7,3.4,1.0,1.2,14.9,15.596
Lester Quinones,SG,22,GSW,0.5,1.3,0.4,0.5,1.0,0.5,0.0,0.3,0.0,1.0,1.5,0.667,0.3,0.5,0.3,1.3,2.5,1.704
Julius Randle,PF,28,NYK,8.5,18.6,0.459,2.8,8.3,0.343,5.7,10.3,0.553,5.2,6.9,0.757,1.8,4.1,0.6,2.8,25.1,24.593999999999998
Austin Reaves,SG,24,LAL,4.0,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,3.6,4.1,0.864,0.5,3.4,0.5,1.5,13.0,12.34
Cam Reddish,SF,23,TOT,3.5,7.8,0.446,1.1,3.6,0.313,2.4,4.2,0.56,1.6,1.9,0.853,0.5,1.4,1.0,1.2,9.7,10.059999999999999
Davon Reed,SG,27,TOT,0.7,2.0,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.4,0.6,0.667,0.2,0.5,0.3,0.5,2.1,2.2059999999999995
Paul Reed,C,23,PHI,1.8,3.0,0.593,0.0,0.1,0.167,1.8,2.9,0.606,0.6,0.7,0.745,1.6,0.4,0.7,0.7,4.2,6.088
Naz Reid,C,23,MIN,4.6,8.5,0.537,1.1,3.2,0.346,3.5,5.3,0.653,1.3,1.9,0.677,1.1,1.1,0.6,1.4,11.5,11.978000000000002
Jared Rhoden,SG,23,DET,1.2,3.1,0.386,0.4,1.4,0.25,0.9,1.7,0.5,0.4,0.4,1.0,0.8,0.3,0.3,0.2,3.2,4.459
Nick Richards,C,25,CHO,3.0,4.8,0.629,0.0,0.0,1.0,3.0,4.8,0.628,2.1,2.8,0.749,2.3,0.6,0.2,0.9,8.2,10.009
Josh Richardson,SG,29,TOT,3.7,8.5,0.431,1.6,4.5,0.365,2.0,4.0,0.506,1.1,1.2,0.852,0.6,2.7,1.1,1.3,10.1,10.378000000000002
Austin Rivers,SG,30,MIN,1.8,4.0,0.435,0.8,2.4,0.35,0.9,1.7,0.558,0.6,0.8,0.769,0.1,1.4,0.5,0.4,4.9,5.033
Duncan Robinson,SF,28,MIA,2.1,5.6,0.371,1.5,4.6,0.328,0.6,1.1,0.556,0.7,0.8,0.906,0.2,1.1,0.3,0.7,6.4,6.176
Mitchell Robinson,C,24,NYK,3.2,4.7,0.671,0.0,0.0,,3.2,4.7,0.671,1.0,2.1,0.484,4.5,0.9,0.9,0.7,7.4,12.940000000000001
Orlando Robinson,C,22,MIA,1.5,2.9,0.528,0.0,0.2,0.0,1.5,2.7,0.566,0.7,1.0,0.71,1.5,0.8,0.4,0.5,3.7,5.355
Jeremiah Robinson-Earl,PF,22,OKC,2.6,5.8,0.444,0.9,2.6,0.333,1.7,3.2,0.533,0.8,1.0,0.833,1.7,1.0,0.6,0.4,6.8,9.136
Isaiah Roby,PF,24,SAS,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.5,1.0,0.488,0.5,0.9,0.4,0.7,4.1,4.345
David Roddy,PF,21,MEM,2.6,6.0,0.429,0.9,3.0,0.307,1.6,3.0,0.553,0.6,0.9,0.631,0.7,0.8,0.4,0.8,6.7,6.866
Ryan Rollins,PG,20,GSW,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.5,0.5,1.0,0.3,0.5,0.1,1.3,1.9,0.9740000000000004
